Type;X;Y
Land_Addon_02_V1_ruins_F;10565.9;14544
Land_Addon_02_V1_ruins_F;11167.2;14514.4
Land_Addon_02_V1_ruins_F;11620.5;19764.1
Land_Addon_02_V1_ruins_F;11672.8;12726.1
Land_Addon_02_V1_ruins_F;12857.8;19633.7
Land_Addon_02_V1_ruins_F;13759.6;18827.8
Land_Addon_02_V1_ruins_F;13858.6;17194.8
Land_Addon_02_V1_ruins_F;14499;17690.5
Land_Addon_02_V1_ruins_F;16498.1;11675
Land_Addon_02_V1_ruins_F;16854;12847.2
Land_Addon_02_V1_ruins_F;17241.2;11912.8
Land_Addon_02_V1_ruins_F;17351.7;12203.9
Land_Addon_02_V1_ruins_F;18685.9;16113.4
Land_Addon_02_V1_ruins_F;20381.1;19470.6
Land_Addon_02_V1_ruins_F;20985.7;19792.5
Land_Addon_02_V1_ruins_F;21123.6;15832.2
Land_Addon_02_V1_ruins_F;21215.7;17001
Land_Addon_02_V1_ruins_F;21219.9;7981.05
Land_Addon_02_V1_ruins_F;21261.5;6095.44
Land_Addon_02_V1_ruins_F;21422;11474.9
Land_Addon_02_V1_ruins_F;21463;19534.9
Land_Addon_02_V1_ruins_F;21581.4;7531.17
Land_Addon_02_V1_ruins_F;21679.4;7502.05
Land_Addon_02_V1_ruins_F;22312.8;18136.1
Land_Addon_02_V1_ruins_F;22352.8;8032.65
Land_Addon_02_V1_ruins_F;23332.3;20508.8
Land_Addon_02_V1_ruins_F;24004.4;20169.1
Land_Addon_02_V1_ruins_F;25058.6;22514.6
Land_Addon_02_V1_ruins_F;25438.8;21197.6
Land_Addon_02_V1_ruins_F;25875;21280.7
Land_Addon_02_V1_ruins_F;26989.7;23101.1
Land_Addon_02_V1_ruins_F;27206.2;24637.8
Land_Addon_02_V1_ruins_F;4225.77;13588.2
Land_Addon_02_V1_ruins_F;4378.22;16595
Land_Addon_02_V1_ruins_F;4430.55;13792.6
Land_Addon_02_V1_ruins_F;4644.08;14370
Land_Addon_02_V1_ruins_F;4875.78;11557.6
Land_Addon_02_V1_ruins_F;4984.05;11317.3
Land_Addon_02_V1_ruins_F;5104.68;16468.2
Land_Addon_02_V1_ruins_F;5231.56;13522.9
Land_Addon_02_V1_ruins_F;6264.08;15338.2
Land_Addon_02_V1_ruins_F;8290.78;15890.3
Land_Addon_02_V1_ruins_F;8756.35;17490.9
Land_Addon_02_V1_ruins_F;9556.64;12735.3
Land_Addon_02_V1_ruins_F;9689.13;12613.4
Land_Addon_04_V1_ruins_F;10264.2;19150.8
Land_Addon_04_V1_ruins_F;20851.6;17023
