Type;X;Y
Land_A_BuildingWIP;11461.6;7482.23
Land_A_BuildingWIP;7095.14;2744.24
Land_A_Castle_Gate;10164.5;12074.1
Land_A_Castle_Gate;10233.5;11966.1
Land_A_Castle_Gate;11254.5;4325.58
Land_A_Castle_Gate;1424.58;9292.77
Land_A_Castle_Gate;1498.43;9189.26
Land_A_Castle_Gate;6525.74;5616.53
Land_A_Castle_Gate;6577.24;5579.4
Land_A_Castle_Gate;6923.15;11357.8
Land_A_Castle_Gate;6939.56;11659.5
Land_A_Castle_Gate;6982.92;11358.9
Land_A_Castle_Stairs_A;10268.5;12019.9
Land_A_Castle_Stairs_A;11239.1;4250.41
Land_A_Castle_Stairs_A;11267.8;4315.39
Land_A_Castle_Stairs_A;13419.7;3284.54
Land_A_Castle_Stairs_A;13462.1;3317.23
Land_A_Castle_Stairs_A;13472.2;3301.65
Land_A_Castle_Stairs_A;6538.85;5607.39
Land_A_Castle_Stairs_A;6569.9;5594.4
Land_A_Castle_Stairs_A;6857.39;11492.6
Land_A_Castle_Stairs_A;6911.41;11445.2
Land_A_Castle_Stairs_A;6912.34;11357.3
Land_A_Castle_Stairs_A;6930.98;11688.1
Land_A_Castle_Stairs_A;6959.94;11682
Land_A_Castle_Stairs_A;6972.89;11371.8
Land_A_Castle_Stairs_A;6980.94;11334.6
Land_A_Castle_Wall1_20;10136.5;12030.6
Land_A_Castle_Wall1_20;10203.4;12063.5
Land_A_Castle_Wall1_20;10229.1;11983.2
Land_A_Castle_Wall1_20;11233.8;4296.2
Land_A_Castle_Wall1_20;1318.11;9322.81
Land_A_Castle_Wall1_20;1326.54;9226.03
Land_A_Castle_Wall1_20;1330.02;9338.64
Land_A_Castle_Wall1_20;1331.72;9239.19
Land_A_Castle_Wall1_20;13373.2;3291.29
Land_A_Castle_Wall1_20;13402.2;3243.88
Land_A_Castle_Wall1_20;13408.5;3337.6
Land_A_Castle_Wall1_20;1343.63;9204.33
Land_A_Castle_Wall1_20;13442.6;3360.54
Land_A_Castle_Wall1_20;13454.7;3278.94
Land_A_Castle_Wall1_20;1346.14;9348.79
Land_A_Castle_Wall1_20;1353.07;9190.39
Land_A_Castle_Wall1_20;1353.14;9296.67
Land_A_Castle_Wall1_20;1363.71;9321.67
Land_A_Castle_Wall1_20;13643.2;2921.68
Land_A_Castle_Wall1_20;1366.39;9351.3
Land_A_Castle_Wall1_20;1371.24;9233.75
Land_A_Castle_Wall1_20;1380.28;9186.94
Land_A_Castle_Wall1_20;1384.39;9320.84
Land_A_Castle_Wall1_20;1388.82;9241.61
Land_A_Castle_Wall1_20;1398.94;9189.8
Land_A_Castle_Wall1_20;1404.05;9319.12
Land_A_Castle_Wall1_20;1407.73;9247.79
Land_A_Castle_Wall1_20;1421.89;9191.05
Land_A_Castle_Wall1_20;1421.99;9311.48
Land_A_Castle_Wall1_20;1427.04;9271.15
Land_A_Castle_Wall1_20;1437.74;9307.78
Land_A_Castle_Wall1_20;1441.14;9186.95
Land_A_Castle_Wall1_20;1467.1;9161.98
Land_A_Castle_Wall1_20;1468.55;9259.32
Land_A_Castle_Wall1_20;1472.29;9184.93
Land_A_Castle_Wall1_20;1478.45;9194.11
Land_A_Castle_Wall1_20;1482.21;9162.16
