[2286.84,22179.3]
[2627.78,9840.85]
[2616.56,22243.7]
[2695.5,11487.9]
[2716.82,9893.73]
[2724.11,9893.23]
[2733.97,9892.7]
[2776.38,19766.7]
[2826.87,9897.75]
[2842.94,12662.8]
[2872.2,12636.8]
[2906.8,12613.6]
[2941.53,12591]
[2959.05,18525.4]
[2966.12,18516.9]
[2950.7,18527.9]
[2971.81,12598.9]
[3004.94,12623.4]
[3014.24,18066.2]
[3020.6,18482]
[3028.06,18508.6]
[3022.01,20278.4]
[3038.8,11871.3]
[3047.51,12374.5]
[3044.07,12610.9]
[3039.48,12648.5]
[3058.97,12644.8]
[3035.88,18149]
[3047,18493.6]
[3072.6,12175.2]
[3082.5,12610.4]
[3084.71,14272.6]
[3066.13,18473.7]
[3087.14,20456.8]
[3091.17,12077.7]
[3106.15,12576.2]
[3132.56,12561]
[3129.7,18424.2]
[3143.4,20572]
[3141.59,21949.8]
[3126.97,21990.3]
[3170.11,12874.2]
[3176.45,12943.5]
[3173.05,18315.4]
[3156.4,21985]
[3198.47,12866.1]
[3207.83,12937.2]
[3194.86,18286]
[3213.11,12842.1]
[3218.54,12873.4]
[3229.26,12924.3]
[3223.6,12904.7]
[3229.64,18327.2]
[3263.08,12440]
[3268.73,12470.8]
[3260.69,12928.7]
[3266.42,12969.9]
[3264.82,13009.4]
[3240.1,13006.3]
[3255.65,13016.3]
[3267.9,13039.8]
[3261.69,13052.3]
[3262.29,13137.3]
[3247.3,18268]
[3292.19,12932.4]
[3290.57,13002.5]
[3272.94,13030.8]
[3286.77,13095.8]
[3285.21,13106.5]
[3282.61,13126.8]
[3292.51,13141]
[3295.74,14105]
[3306.26,12445]
[3301.62,12462.6]
[3319.36,12943]
[3308.3,12969.5]
[3315.05,12989.8]
[3321.63,12969.5]
[3302.43,12996.4]
[3307.16,13102]
[3325.43,13082.6]
[3304.86,13111.8]
[3317.77,13134.2]
[3310.12,13129.4]
[3321.43,13158.7]
[3305.49,13147.3]
[3313.41,13152.8]
[3311.53,13199.3]
[3311.49,13169.7]
[3306.83,13198.6]
[3312.47,14107.9]
[3312.15,14140.7]
[3327.84,14169.7]
[3325.56,14223.2]
[3327.55,14268.8]
[3316.78,14268.9]
[3326.9,14294.1]
[3323.27,19635.9]
[3354.77,11741]
[3351.74,12892.2]
[3338.2,12909.3]
[3347.69,12954.7]
[3332.58,12977.6]
[3344.08,13088.6]
[3348,13123.4]
[3337.69,13135]
[3331.84,13111.9]
[3350.05,13160.8]
[3343.68,13169.4]
[3331.48,13143.1]
[3352.13,13192.8]
[3344.17,13188]
[3360.61,13199.5]
[3335.7,13182.6]
[3345.72,13221.8]
[3327.96,14176.4]
[3346.1,14230.4]
[3340.07,14268.9]
[3350.16,14304.4]
[3355.74,14286.1]
[3346.4,18327.2]
[3338.31,18325.5]
[3352.88,19229.7]
[3377.53,10217.6]
[3365.22,10222.6]
[3372.57,10235.2]
[3387.02,11903.6]
[3365.26,11882.9]
[3373.77,12883.4]
[3390.07,12881.3]
[3387.52,12919.9]
[3365.61,12942.9]
[3373.65,12945.4]
[3390.15,12960.9]
[3384.32,12936.4]
[3384.59,12981.1]
[3383.3,12973.7]
[3366.55,13014.1]
[3389.23,13008.7]
[3370.63,13038.4]
[3370.19,13023.4]
[3363.98,13065.3]
[3367.69,13057.3]
[3371.65,13107.8]
[3390.1,13100.5]
[3373.52,13092.7]
[3370.02,13160.3]
[3362.55,13149.8]
[3381.44,13177.2]
[3387.65,13200.4]
[3374.33,13186.7]
[3377.64,13212.8]
[3385.43,13218.9]
[3365.8,13204.4]
[3377.81,13248]
[3369.61,13238.5]
[3389.54,14241.7]
[3371.73,14257]
[3378.07,14255.5]
[3380.52,14293.8]
[3376.63,14302.5]
[3378.98,19193.2]
[3386.58,19226.9]
[3371.88,19238.8]
[3392.15,12896.7]
[3403.72,12894.3]
[3395.44,12887.4]
[3392.55,12928]
[3403.48,12909.7]
[3406.53,12948]
[3397.36,12953.8]
[3390.98,13018.7]
[3392.87,13036.6]
[3394.67,13046.5]
[3396.95,13065.6]
[3407.59,13108]
[3399.13,13104.4]
[3418.73,13092.1]
[3399.57,13089.3]
[3413.3,13135.4]
[3418.89,13127.9]
[3417.67,13111.5]
[3407.43,13143.4]
[3399.88,13157.5]
